,Vintage,Estate,Appellation,Color,Classification,Quantity,Volume,Packing,Price,R. Parker
49,2005,CH. YQUEM (D'),SAUTERNES       ,SWEET,1CCSUP,54,BT,OWC12,480.0,95-98
50,2006,CH. BRUN,SAINT EMILION,RED,,24,MG,CB boxes6,15.9,-
51,2006,CH. DUHART MILON ROTHSCHILD,PAUILLAC        ,RED,4CC,90,BT,OWC6,165.0,92
52,2006,CH. LAVILLE HAUT BRION (BLANC),PESSAC LEOGNAN  ,WHITE,,8,BT,OWC6,327.0,98
53,2006,CH. LOUIS,SAINT EMILION GRAND CRU   ,RED,GC,600,BT,OWC6,26.0,90
54,2006,CH. PALMER,MARGAUX,RED,3CC,24,BT,OWC12,155.0,98
55,2006,CH. PICHON LALANDE,PAUILLAC,RED,2CC,180,BT,OWC12,95.0,95
56,2006,CH. PICQUE CAILLOU BLANC,PESSAC LEOGNAN  ,WHITE,,168,BT,OWC6,9.5,-
57,2006,CH. PONTET CANET,PAUILLAC,RED,5CC,348,BT,OWC6,90.0,95
58,2006,CH. SUDUIRAUT,SAUTERNES       ,SWEET,1CC,12,BT,OWC12,33.5,93
59,2006,CH. TROPLONG MONDOT,SAINT EMILION GRAND CRU   ,RED,CC1,168,BT,OWC12,72.0,93
60,2007,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,48,BT,OWC12,205.0,90
61,2007,CH. BRUN,SAINT EMILION,RED,,12,MG,CB boxes6,15.9,-
62,2007,CH. CLOS MANOU,MEDOC,RED,,24,BT,OWC12,17.0,90
63,2007,CH. DAUZAC,MARGAUX,RED,5CC,6,BT,CB boxes6,26.0,84-87
64,2007,CH. DU PARC,SAINT EMILION GRAND CRU,RED,CC,384,BT,OWC12,8.75,
65,2007,CH. LAFITE ROTHSCHILD,PAUILLAC        ,RED,1CC,6,MG,OWC6,1150.0,94
66,2007,CH. LOUIS,SAINT EMILION GRAND CRU   ,RED,GC,528,BT,OWC6,26.0,-
67,2007,CH. LYNCH BAGES,PAUILLAC        ,RED,5CC,6,BT,OWC6,96.0,92
68,2007,CH. MALLE (DE),SAUTERNES       ,SWEET,2CC,6,BT,OWC12,20.5,93
69,2007,CH. MARJOSSE,BORDEAUX,RED,,120,BT,CB boxes12,5.0,-
70,2007,CH. PAVIE DECESSE,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,95.0,92-94
71,2007,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,600,BT,-,43.5,93
72,2007,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,600,DM,OWC24,21.5,93
73,2007,CH. SUDUIRAUT,SAUTERNES       ,SWEET,1CC,36,BT,OWC12,38.0,93
74,2007,CH. YQUEM (D'),SAUTERNES       ,SWEET,1CCSUP,54,BT,-,380.0,98
75,2007,MONDOT,SAINT EMILION GRAND CRU,RED,2nd,24,BT,OWC12,15.5,-
76,2008,CH. AUSONE,SAINT EMILION GRAND CRU,RED,CC1A,3,BT,OWC3,580.0,98
77,2008,CH. BELLEVUE MONDOTTE,SAINT EMILION,RED,,72,BT,OWC12,135.0,95+
78,2008,CH. COUTET,BARSAC          ,SWEET,1CC,12,BT,OWC12,30.0,92
79,2008,CH. DOMINIQUE (LA),SAINT EMILION GRAND CRU,RED,CC,336,BT,OWC6,26.5,90
80,2008,CH. FARGUES (DE),SAUTERNES       ,SWEET,,6,BT,OWC6,68.0,95
81,2008,CH. GRESSIER GRAND POUJEAUX ,MOULIS,RED,,600,BT,CB boxes12,11.0,
82,2008,CH. LEOVILLE LAS CASES,SAINT JULIEN,RED,2CC,12,BT,OWC12,140.0,92
83,2008,CH. MARGAUX,MARGAUX         ,RED,1CC,42,BT,OWC6,390.0,94
84,2008,CH. MARQUIS D'ALESME,MARGAUX         ,RED,5CC,36,BT,OWC12,34.0,83-85
85,2008,CH. PAVIE DECESSE,SAINT EMILION GRAND CRU,RED,CC,12,BT,OWC12,77.0,94+
86,2008,CH. PICHON LALANDE,PAUILLAC,RED,2CC,300,BT,OWC6,95.0,92
87,2008,CH. PONTET CANET,PAUILLAC        ,RED,5CC,258,BT,OWC12,86.0,96
88,2008,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,12,BT,OWC12,32.5,93
89,2008,CLOS LES LUNELLES,COTES DE CASTILLON,RED,,36,BT,OWC12,18.5,91
90,2009,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,300,BT,OWC12,185.0,93
91,2009,CH. AUSONE,SAINT EMILION GRAND CRU,RED,CC1A,29,BT,-,1205.0,98+
92,2009,CH. BOUSCAUT BLANC,PESSAC LEOGNAN  ,WHITE,CC,36,BT,OWC12,19.8,-
93,2009,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,48,BT,OWC6,85.0,87-90
94,2009,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,36,BT,OWC12,285.0,100
95,2009,CH. COUHINS ROUGE,PESSAC LEOGNAN,RED,CC,48,BT,OWC12,19.0,-
96,2009,CH. COUTET,BARSAC          ,SWEET,1CC,216,BT,OWC12,42.0,95
97,2009,CH. DUHART MILON ROTHSCHILD,PAUILLAC        ,RED,4CC,564,BT,-,80.0,97
98,2009,CH. GUIRAUD,SAUTERNES       ,SWEET,1CC,108,BT,OWC12,34.0,96
99,2009,CH. HAUT BERGEY BLANC,PESSAC LEOGNAN  ,WHITE,,12,BT,CB boxes6,22.0,93
100,2009,CH. LEOVILLE POYFERRE,SAINT JULIEN    ,RED,2CC,138,BT,-,180.0,100
101,2009,CH. LOUIS,SAINT EMILION GRAND CRU   ,RED,GC,24,BT,OWC12,29.4,91+
102,2009,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN  ,WHITE,CC,228,BT,OWC12,45.6,95
103,2009,CH. MALARTIC LAGRAVIERE ROUGE,PESSAC LEOGNAN  ,RED,CC,114,BT,OWC12,35.4,92+
104,2009,CH. MARGAUX,MARGAUX         ,RED,1CC,54,BT,-,720.0,99
105,2009,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN  ,RED,CC,120,BT,-,625.0,100
106,2009,CH. MOUTON ROTHSCHILD,PAUILLAC        ,RED,1CC,300,BT,OWC12,640.0,99
107,2009,CH. PALMER,MARGAUX         ,RED,3CC,300,BT,,245.0,97
108,2009,CH. PAPE CLEMENT ROUGE,PESSAC LEOGNAN  ,RED,CC,12,BT,OWC12,94.0,95
109,2009,CH. PONTET CANET,PAUILLAC        ,RED,5CC,300,BT,-,182.0,100
110,2009,CLARENCE DE HAUT BRION (LE),PESSAC LEOGNAN  ,RED,2nd,24,BT,OWC12,87.5,92
111,2009,FORTS DE LATOUR (LES),PAUILLAC        ,RED,2nd,156,BT,OWC12,175.0,95
112,2009,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,120,BT,OWC12,34.0,91
113,2010,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,300,BT,OWC12,172.0,94
114,2010,CH. AUSONE,SAINT EMILION GRAND CRU,RED,CC1A,25,BT,-,1300.0,98+
115,2010,CH. BERNADOTTE,HAUT MEDOC,RED,,600,BT,OWC12,12.0,89
116,2010,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,222,BT,OWC6,65.0,96
117,2010,CH. CONSEILLANTE (LA),POMEROL         ,RED,,36,BT,OWC12,155.0,96
118,2010,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,36,BT,OWC12,197.0,97+
119,2010,CH. COUHINS BLANC,PESSAC LEOGNAN  ,WHITE,,120,BT,OWC12,14.4,-
120,2010,CH. COUTET,BARSAC          ,SWEET,1CC,216,BT,OWC12,40.0,93-95
121,2010,CH. DOMINIQUE (LA),SAINT EMILION GRAND CRU,RED,CC,600,BT,OWC6,36.0,93
122,2010,CH. DUHART MILON ROTHSCHILD,PAUILLAC,RED,4CC,486,BT,OWC6,65.0,96
123,2010,CH. HAUT BRION ROUGE,PESSAC LEOGNAN  ,RED,1CC,87,BT,-,700.0,100
124,2010,CH. LAGRANGE,SAINT JULIEN    ,RED,3CC,144,BT,OWC12,39.6,89+
125,2010,CH. LEOVILLE LAS CASES,SAINT JULIEN    ,RED,2CC,12,BT,OWC12,189.0,96+
126,2010,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN  ,WHITE,CC,48,BT,OWC12,43.0,93
127,2010,CH. MALESCOT SAINT EXUPERY,MARGAUX         ,RED,3CC,12,BT,OWC12,61.0,95
128,2010,CH. MARGAUX,MARGAUX         ,RED,1CC,93,BT,-,660.0,99
129,2010,CH. MAROJALLIA,MARGAUX         ,RED,,12,BT,OWC12,52.0,95
130,2010,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN  ,RED,CC,192,BT,OWC12,585.0,98+
131,2010,CH. PAVIE,SAINT EMILION GRAND CRU   ,RED,CC1,300,BT,OWC6,310.0,100
132,2010,CH. PICHON BARON,PAUILLAC        ,RED,2CC,48,BT,-,145.0,97+
133,2010,CH. PICHON LALANDE,PAUILLAC        ,RED,2CC,264,BT,OWC12,135.0,95+
134,2010,CH. PONTET CANET,PAUILLAC        ,RED,5CC,300,BT,OWC12,175.0,100
135,2010,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,60,BT,OWC6,42.0,90-92
136,2010,CH. TRONQUOY LALANDE,SAINT ESTEPHE   ,RED,,60,BT,OWC12,24.0,92
137,2010,CLARENCE DE HAUT BRION (LE),PESSAC LEOGNAN  ,RED,2nd,96,BT,OWC12,103.0,93
138,2010,MAROJALLIA,MARGAUX         ,RED,,12,BT,OWC12,52.0,95
139,2010,PAVILLON ROUGE DU CHATEAU MARGAUX,MARGAUX,RED,2nd,66,BT,OWC6,125.0,94
140,2010,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,570,BT,OWC12,29.5,89
141,2011,AILE D'ARGENT,BORDEAUX BLANC,WHITE,,72,BT,OWC6,45.0,90-92
142,2011,CARMES DE RIEUSSEC,SAUTERNES       ,SWEET,,600,BT,CB boxes6,13.1,-
143,2011,CH. AUSONE,SAINT EMILION GRAND CRU   ,RED,CC1A,212,BT,-,553.0,95+
144,2011,CH. BERNADOTTE,HAUT MEDOC   ,RED,,444,BT,OWC12,10.0,86
145,2011,CH. BOYD CANTENAC,MARGAUX         ,RED,3CC,48,BT,OWC12,35.0,89-91+
146,2011,CH. BRANON,PESSAC LEOGNAN  ,RED,,12,BT,OWC6,47.8,94
147,2011,CH. CANON LA GAFFELIERE,SAINT EMILION GRAND CRU   ,RED,CC1,24,BT,OWC12,41.5,91
148,2011,CH. CANTEMERLE,HAUT MEDOC   ,RED,5CC,246,BT,-,19.2,91
149,2011,CH. CAPBERN GASQUETON,SAINT ESTEPHE   ,RED,,120,BT,OWC12,11.3,85
150,2011,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,54,BT,OWC6,49.0,96
151,2011,CH. CONSEILLANTE (LA),POMEROL         ,RED,,180,BT,OWC12,72.0,92
152,2011,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,60,BT,OWC6,102.0,91
153,2011,CH. COTE DE BALEAU,SAINT EMILION GRAND CRU,RED,,600,BT,OWC12,12.0,86
154,2011,CH. COUTET,BARSAC          ,SWEET,1CC,258,BT,-,37.0,94-96
155,2011,CH. DASSAULT,SAINT EMILION GRAND CRU,RED,CC,24,BT,OWC12,22.5,90
156,2011,CH. DUHART MILON ROTHSCHILD,PAUILLAC        ,RED,4CC,600,BT,-,57.0,89-91
157,2011,CH. EVANGILE (L'),POMEROL         ,RED,,564,BT,OWC6,98.0,88-90
158,2011,CH. FIEUZAL BLANC (DE),PESSAC LEOGNAN  ,WHITE,,24,BT,OWC12,31.0,89
159,2011,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,14.3,89
160,2011,CH. FONBEL (DE),SAINT EMILION GRAND CRU,RED,,600,BT,CB boxes12,11.3,85
161,2011,CH. FONROQUE,SAINT EMILION GRAND CRU,RED,CC,420,BT,OWC12,15.9,88
162,2011,CH. FOURCAS DUPRE,LISTRAC         ,RED,,60,BT,OWC12,7.8,84
163,2011,CH. GAY (LE),POMEROL         ,RED,,108,BT,OWC12,69.0,94
164,2011,CH. GAZIN,POMEROL         ,RED,,132,BT,OWC12,44.0,93+
165,2011,CH. GRAND PUY DUCASSE,PAUILLAC        ,RED,5CC,120,BT,OWC12,26.0,89
166,2011,CH. GRESSIER GRAND POUJEAUX ,MOULIS,RED,,600,BT,CB boxes12,9.8,
167,2011,CH. GUIRAUD,SAUTERNES       ,SWEET,1CC,72,DM,OWC24,22.0,(88-90)
168,2011,CH. HAUT BATAILLEY,PAUILLAC        ,RED,5CC,48,BT,OWC12,24.0,88
169,2011,CH. HAUT MARBUZET,SAINT ESTEPHE   ,RED,,60,BT,OWC12,21.0,88
170,2011,CH. LARCIS DUCASSE,SAINT EMILION GRAND CRU   ,RED,CC1,168,BT,OWC12,34.2,90
171,2011,CH. LEOVILLE BARTON,SAINT JULIEN    ,RED,2CC,60,BT,OWC12,48.0,88+
172,2011,CH. LOUIS,SAINT EMILION GRAND CRU   ,RED,GC,108,BT,OWC12,26.1,93
173,2011,CH. MAGREZ FOMBRAUGE,BORDEAUX BLANC,WHITE,,12,BT,OWC6,13.7,89-91
174,2011,CH. MARGAUX,MARGAUX         ,RED,1CC,12,BT,OWC6,370.0,93
175,2011,CH. MAROJALLIA,MARGAUX         ,RED,,120,BT,OWC12,48.0,92
176,2011,CH. MAUVESIN BARTON,MOULIS          ,RED,,240,BT,OWC12,9.4,-
177,2011,CH. MEYNEY,SAINT ESTEPHE   ,RED,,204,BT,OWC12,18.6,88-90
178,2011,CH. MISSION HAUT BRION BLANC (LA),PESSAC LEOGNAN  ,WHITE,CC,60,BT,OWC12,600.0,94
179,2011,CH. MONTROSE,SAINT ESTEPHE   ,RED,2CC,600,BT,OWC12,69.0,89+
180,2011,CH. MOULIN SAINT GEORGES,SAINT EMILION GRAND CRU   ,RED,GC,24,BT,OWC12,19.8,88
181,2011,CH. MOUTON ROTHSCHILD,PAUILLAC        ,RED,1CC,300,BT,-,355.0,92+
182,2011,CH. OLIVIER ROUGE,PESSAC LEOGNAN  ,RED,CC,600,BT,OWC12,17.5,89
183,2011,CH. ORMES DE PEZ (LES),SAINT ESTEPHE   ,RED,,528,BT,OWC12,18.0,87-89
184,2011,CH. PAVIE MACQUIN,SAINT EMILION GRAND CRU   ,RED,CC1,390,BT,-,42.0,92+
185,2011,CH. PICHON BARON,PAUILLAC        ,RED,2CC,12,BT,OWC12,72.0,91
186,2011,CH. PONTET CANET,PAUILLAC        ,RED,5CC,264,BT,OWC12,69.0,93+
187,2011,CH. POTENSAC,MEDOC           ,RED,,552,BT,OWC12,13.2,85
188,2011,CH. QUINAULT L'ENCLOS,SAINT EMILION GRAND CRU,RED,CC,480,BT,OWC12,19.2,89
189,2011,CH. QUINTUS,SAINT EMILION GRAND CRU,RED,GC,60,BT,OWC12,95.2,89
190,2011,CH. RAUZAN SEGLA,MARGAUX,RED,2CC,192,BT,OWC12,56.0,93
191,2011,CH. RETOUT (DU),HAUT MEDOC,RED,CB,24,BT,OWC12,5.8,86
192,2011,CH. REYNON,CADILLAC COTES DE BORDEAUX,RED,,96,BT,OWC12,7.1,83-85
193,2011,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,600,BT,OWC6,43.0,91-93
194,2011,CH. ROUGET,POMEROL         ,RED,,180,BT,OWC12,24.75,89
195,2011,CH. SAINT PIERRE,SAINT JULIEN    ,RED,4CC,396,BT,OWC12,32.7,87+
196,2011,CH. SIRAN,MARGAUX         ,RED,,144,BT,OWC12,16.3,84
197,2011,CH. SMITH HAUT LAFITTE BLANC,PESSAC LEOGNAN  ,WHITE,,12,BT,OWC12,58.0,89
198,2011,CH. SUDUIRAUT,SAUTERNES       ,SWEET,1CC,12,BT,OWC12,42.0,93-95
199,2011,CH. TEYSSIER,SAINT EMILION GRAND CRU,RED,,600,BT,OWC12,10.0,88
200,2011,CH. TROIS CROIX (LES),FRONSAC         ,RED,,288,BT,OWC12,10.3,87
201,2011,CH. TRONQUOY LALANDE,SAINT ESTEPHE   ,RED,,600,BT,OWC12,19.0,88
202,2011,CH. TROPLONG MONDOT,SAINT EMILION GRAND CRU   ,RED,CC1,600,BT,OWC12,55.0,95
203,2011,CHAPELLE DE LA MISSION HAUT BRION (LA),PESSAC LEOGNAN  ,RED,2nd,480,BT,OWC12,46.0,88
204,2011,CLARENCE DE HAUT BRION (LE),PESSAC LEOGNAN  ,RED,2nd,600,BT,-,66.8,90
205,2011,CLOS DU MARQUIS,SAINT JULIEN    ,RED,2nd,24,BT,OWC12,31.0,89+
206,2011,CLOS FOURTET,SAINT EMILION GRAND CRU   ,RED,CC1,7,BT,VRAC,55.0,93
207,2011,CLOS HAUT PEYRAGUEY,SAUTERNES       ,SWEET,1CC,6,BT,OWC6,29.5,92-94
208,2011,CLOS L'EGLISE,POMEROL         ,RED,,24,BT,OWC6,60.0,93
209,2011,CROIX DE BEAUCAILLOU (LA),SAINT JULIEN    ,RED,2nd,600,BT,OWC12,24.0,88
210,2011,DAME DE MONTROSE (LA),SAINT ESTEPHE   ,RED,2nd,600,BT,OWC12,22.2,86
211,2011,DULUC DE BRANAIRE,SAINT JULIEN,RED,2nd,600,BT,OWC6,15.5,-
212,2011,FORTS DE LATOUR (LES),PAUILLAC        ,RED,2nd,12,BT,OWC12,135.0,90-92
213,2011,FORTS DE LATOUR (LES),PAUILLAC        ,RED,2nd,6,BT,OWC6,135.0,90-92
214,2011,LE DOME,SAINT EMILION GRAND CRU,RED,,600,BT,OWC12,69.0,94
215,2011,MAROJALLIA,MARGAUX         ,RED,,120,BT,OWC12,48.0,92
216,2011,MARQUIS DE CALON (LE),SAINT ESTEPHE   ,RED,2nd,240,BT,OWC12,13.45,85
217,2011,PAGODES DE COS (LES),SAINT ESTEPHE   ,RED,2nd,24,BT,OWC12,29.0,88
218,2011,PARDE DE HAUT BAILLY (LA),PESSAC LEOGNAN  ,RED,2nd,96,BT,OWC12,16.2,89
219,2011,PAVILLON ROUGE DU CHATEAU MARGAUX,MARGAUX,RED,2nd,6,BT,OWC6,110.0,89
220,2011,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,6,BT,OWC6,22.5,87
221,2011,RESERVE DE MALARTIC (LA),PESSAC LEOGNAN,RED,2nd,24,BT,OWC6,9.9,-
222,2011,VIEUX CHÂTEAU CERTAN,POMEROL         ,RED,,90,BT,OWC12,115.0,91
223,2011,VIEUX CHÂTEAU SAINT ANDRE,MONTAGNE SAINT EMILION,RED,,480,BT,OWC12,8.0,-
224,2012,BENJAMIN DE BEAUREGARD,POMEROL,RED,2nd,600,BT,OWC6,14.3,-
225,2012,BRIO DE CANTENAC BROWN,MARGAUX,RED,2nd,72,BT,CB boxes6,14.5,-
226,2012,CARMES DE RIEUSSEC,SAUTERNES,SWEET,,600,BT,CB boxes6,13.5,-
227,2012,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,300,BT,OWC12,158.0,89
228,2012,CH. BERLIQUET,SAINT EMILION GRAND CRU,RED,CC,120,BT,OWC12,19.9,89+
229,2012,CH. BEYCHEVELLE,SAINT JULIEN    ,RED,4CC,276,BT,OWC6,55.0,92+
230,2012,CH. BOYD CANTENAC,MARGAUX,RED,3CC,18,BT,OWC6,32.2,-
231,2012,CH. BOYD CANTENAC,MARGAUX,RED,3CC,12,BT,OWC6,32.2,-
232,2012,CH. BRANAIRE DUCRU,SAINT JULIEN,RED,4CC,120,BT,OWC6,28.5,90
233,2012,CH. BRANON,PESSAC LEOGNAN,RED,,30,BT,OWC6,39.9,94
234,2012,CH. CAMENSAC,HAUT MEDOC,RED,5CC,216,BT,OWC12,16.5,86
235,2012,CH. CANTEMERLE,HAUT MEDOC,RED,5CC,138,BT,OWC6,18.0,88
236,2012,CH. CAP DE MOURLIN,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,15.0,90-92
237,2012,CH. CAPBERN GASQUETON,SAINT ESTEPHE,RED,,264,BT,OWC6,10.8,86
238,2012,CH. CARONNE SAINTE GEMME,HAUT MEDOC,RED,,48,BT,CB boxes6,8.0,-
239,2012,CH. CHEVAL BLANC,SAINT EMILION GRAND CRU,RED,CC1A,300,BT,OWC6,345.0,94
240,2012,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,120,BT,OWC12,48.0,95+
241,2012,CH. COS D'ESTOURNEL,SAINT ESTEPHE,RED,2CC,492,BT,OWC6,89.0,93+
242,2012,CH. COTE DE BALEAU,SAINT EMILION GRAND CRU,RED,CC,600,BT,OWC12,13.2,89+
243,2012,CH. COUTET,BARSAC,SWEET,1CC,420,BT,OWC6,31.2,90-92
244,2012,CH. CROIZET BAGES,PAUILLAC,RED,5CC,48,BT,OWC12,20.4,88
245,2012,CH. DASSAULT,SAINT EMILION GRAND CRU,RED,CC,534,BT,OWC6,18.6,91
246,2012,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,444,BT,OWC6,80.0,90-92
247,2012,CH. DUHART MILON ROTHSCHILD,PAUILLAC,RED,4CC,600,BT,OWC6,53.0,89
248,2012,CH. FAUGERES,SAINT EMILION GRAND CRU,RED,CC,132,BT,OWC12,21.0,91
249,2012,CH. FIEUZAL ROUGE (DE),PESSAC LEOGNAN,RED,CC,156,BT,OWC6,21.0,89+?
250,2012,CH. FLEUR DE BOUARD (LA),LALANDE DE POMEROL,RED,-,240,BT,OWC12,21.6,91
251,2012,CH. FLEUR DE GAY (LA),POMEROL,RED,,36,BT,OWC12,55.0,92
252,2012,CH. FLEUR MORANGE (LA),SAINT EMILION GRAND CRU,RED,CC,48,BT,OWC6,45.0,88
253,2012,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,312,BT,OWC12,14.3,88
254,2012,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,600,BT,OWC6,14.3,88
255,2012,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,600,BT,,14.3,88
256,2012,CH. FONBEL (DE),SAINT EMILION GRAND CRU,RED,,600,BT,CB boxes12,9.8,87-89
257,2012,CH. FONROQUE,SAINT EMILION GRAND CRU,RED,CC,240,BT,OWC12,15.0,90
258,2012,CH. GAY (LE),POMEROL,RED,,12,BT,OWC6,65.0,94+
259,2012,CH. GRACIA,SAINT EMILION GRAND CRU,RED,,84,BT,OWC6,72.0,95+
260,2012,CH. GRAND PONTET,SAINT EMILION GRAND CRU,RED,CC,216,BT,OWC12,17.5,88+
261,2012,CH. GRAND PUY DUCASSE,PAUILLAC,RED,5CC,396,BT,OWC12,26.0,90
