,,,TWINS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
PAUILLAC,5TH,1997,GRAND PUY DUCASSE,75cl,86,27,,,,,,,
PAUILLAC,5TH,2005,GRAND PUY DUCASSE,75cl,91,45,,,,,,,
PAUILLAC,5TH,2012,GRAND PUY DUCASSE,75cl,90,25,,2011,PRELUDE A GRAND PUY DUCASSE,75cl,13.95,,
PAUILLAC,5TH,2002,GRAND PUY LACOSTE,75cl,86,35,,,,,,,
PAUILLAC,5TH,2004,GRAND PUY LACOSTE,75cl,89,42,,,,,,,
PAUILLAC,5TH,2008,GRAND PUY LACOSTE,75cl,89,36,,,,,,,
PAUILLAC,5TH,2009,GRAND PUY LACOSTE,75cl,95,72,,,,,,,
PAUILLAC,5TH,2010,GRAND PUY LACOSTE,75cl,95,72,,,,,,,
PAUILLAC,5TH,2011,GRAND PUY LACOSTE,75cl,91,36,,,,,,,
PAUILLAC,5TH,2012,GRAND PUY LACOSTE,75cl,91,35,,,,,,,
PAUILLAC,5TH,2013,GRAND PUY LACOSTE,75cl,-,31.2,,2013,LACOSTE BORIE,75cl,13.5,,
PAUILLAC,5TH,2012,HAUT BAGES LIBERAL,75cl,-,22,,,,,,,
PAUILLAC,5TH,2013,HAUT BAGES LIBERAL,75cl,-,19.8,,,,,,,
PAUILLAC,5TH,2003,HAUT BATAILLEY,75cl,87,35,,,,,,,
PAUILLAC,5TH,1993,LYNCH BAGES,"5,0L",86,510,JERO,,,,,,
PAUILLAC,5TH,1996,LYNCH BAGES,75cl,93,159,,,,,,,
PAUILLAC,5TH,1999,LYNCH BAGES,75cl,90,119,,,,,,,
PAUILLAC,5TH,2005,LYNCH BAGES,75cl,92,150,,,,,,,
PAUILLAC,5TH,2010,LYNCH BAGES,75cl,96,120,,2011,ECHO DE LYNCH BAGES,75cl,25,,
PAUILLAC,5TH,2011,LYNCH BAGES,75cl,90,75,,2012,ECHO DE LYNCH BAGES,75cl,23,,
PAUILLAC,5TH,2012,LYNCH BAGES,75cl,87,72.5,,2013,ECHO DE LYNCH BAGES,75cl,21.6,,
PAUILLAC,5TH,2013,LYNCH BAGES,75cl,86-88,68,,2013,ECHO DE LYNCH BAGES,"37,5cl",11.3,,half
PAUILLAC,5TH,1993,PONTET CANET,"5,0L",86,360,JERO,,,,,,
PAUILLAC,5TH,1993,PONTET CANET,"6,0L",86,430,Imperiale,,,,,,
PAUILLAC,5TH,2004,PONTET CANET,75cl,90+,68,,,,,,,
PAUILLAC,5TH,2005,PONTET CANET,75cl,97+,125,,,,,,,
PAUILLAC,5TH,2006,PONTET CANET,75cl,95+,75,,,,,,,
PAUILLAC,5TH,2009,PONTET CANET,75cl,100,180,,,,,,,
PAUILLAC,5TH,2010,PONTET CANET,75cl,100,180,,,,,,,
PAUILLAC,5TH,2011,PONTET CANET,75cl,93+,68,,,,,,,
PAUILLAC,5TH,2012,PONTET CANET,75cl,93,66,,,,,,,
PAUILLAC,5TH,2013,PONTET CANET,75cl,90-92,58,,,,,,,
PAUILLAC,CB,2011,PIBRAN,75cl,86,17.95,,,,,,,
PAUILLAC,CB,2012,PIBRAN,75cl,88,16.8,,,,,,,
ST ESTEPHE,2ND,1986,COS D'ESTOURNEL ,75cl,95,170,,,,,,,
ST ESTEPHE,2ND,1988,COS D'ESTOURNEL ,75cl,87,129,,,,,,,
ST ESTEPHE,2ND,2000,COS D'ESTOURNEL ,75cl,91,165,,,,,,,
ST ESTEPHE,2ND,2001,COS D'ESTOURNEL ,75cl,93,115,,,,,,,
ST ESTEPHE,2ND,2003,COS D'ESTOURNEL ,75cl,97,165,,,,,,,
ST ESTEPHE,2ND,2004,COS D'ESTOURNEL ,75cl,92,92,,,,,,,
ST ESTEPHE,2ND,2005,COS D'ESTOURNEL ,75cl,97,175,,,,,,,
ST ESTEPHE,2ND,2008,COS D'ESTOURNEL ,75cl,92+,89,,,,,,,
ST ESTEPHE,2ND,2010,COS D'ESTOURNEL ,75cl,97+,189,,,,,,,
ST ESTEPHE,2ND,2011,COS D'ESTOURNEL ,75cl,91,90,,,,,,,
ST ESTEPHE,2ND,2012,COS D'ESTOURNEL  blanc,75cl,,48,,2013,PAGODES DE COS,75cl,26.4,,
ST ESTEPHE,2ND,1981,MONTROSE  ex-château,75cl,,95,,,,,,,
ST ESTEPHE,2ND,1985,MONTROSE  ex-château,"1,5L",,264,Mag,1991,DAME DE MONTROSE ,75cl,26,,
ST ESTEPHE,2ND,1986,MONTROSE  ex-château,75cl,91,180,,1993,DAME DE MONTROSE ,75cl,25,,
ST ESTEPHE,2ND,1995,MONTROSE  ex-château,75cl,93,132,,1994,DAME DE MONTROSE ,75cl,25,,
ST ESTEPHE,2ND,1998,MONTROSE  ex-château,75cl,90,110,,1996,DAME DE MONTROSE ,75cl,42,,
ST ESTEPHE,2ND,1999,MONTROSE  ex-château,"1,5L",90,204,Mag,1997,DAME DE MONTROSE ,75cl,24,,
ST ESTEPHE,2ND,2002,MONTROSE  ex-château,"1,5L",90,162,Mag,1999,DAME DE MONTROSE ,75cl,30,,
ST ESTEPHE,2ND,2003,MONTROSE ,75cl,99,195,,2000,DAME DE MONTROSE ,75cl,48,,
ST ESTEPHE,2ND,2004,MONTROSE  ex-château,"1,5L",91,168,Mag,2004,DAME DE MONTROSE ,"1,5L",72,,Mag
ST ESTEPHE,2ND,2005,MONTROSE ,75cl,94+,130,,2006,DAME DE MONTROSE ,"1,5L",72,,Mag
ST ESTEPHE,2ND,2005,MONTROSE  ex-château,"1,5L",94+,295,Mag,2007,DAME DE MONTROSE ,75cl,27.6,,
ST ESTEPHE,2ND,2007,MONTROSE ,75cl,91,69.5,,2007,DAME DE MONTROSE ,"1,5L",59.95,,Mag
ST ESTEPHE,2ND,2008,MONTROSE ,75cl,95,79,,2008,DAME DE MONTROSE ,75cl,29.95,,
ST ESTEPHE,2ND,2011,MONTROSE ,75cl,89+,65,,2010,DAME DE MONTROSE ,75cl,43,,
ST ESTEPHE,2ND,2011,MONTROSE ,"3,0L",89+,260,Dmag,2011,DAME DE MONTROSE ,75cl,22.8,,
ST ESTEPHE,2ND,2011,MONTROSE ,"6,0L",89+,530,Imperiale,2012,DAME DE MONTROSE ,75cl,21,,
ST ESTEPHE,2ND,2012,MONTROSE ,75cl,92+,62,,2013,DAME DE MONTROSE ,75cl,19.8,,
ST ESTEPHE,2ND,2013,MONTROSE ,75cl,87-89,58,,2012,LE SAINT ESTEPHE DE MONTROSE,75cl,13.2,,
ST ESTEPHE,3RD,1986,CALON SEGUR  ,75cl,88,149,,2013,LE SAINT ESTEPHE DE MONTROSE,75cl,13.2,,
ST ESTEPHE,3RD,1988,CALON SEGUR  ,75cl,91,139,,,,,,,
ST ESTEPHE,3RD,1989,CALON SEGUR  ,75cl,88,139,,,,,,,
ST ESTEPHE,3RD,1990,CALON SEGUR  ,75cl,87,139,,,,,,,
ST ESTEPHE,3RD,1996,CALON SEGUR  ,75cl,92,79,,,,,,,
ST ESTEPHE,3RD,1999,CALON SEGUR  ,"1,5L",87,118,Mag,,,,,,
ST ESTEPHE,3RD,2000,CALON SEGUR  ,75cl,91+,79.8,,,,,,,
ST ESTEPHE,3RD,2001,CALON SEGUR  ,75cl,90,72,,,,,,,
ST ESTEPHE,3RD,2001,CALON SEGUR  ,"37,5cl",90,34.5,Half,,,,,,
ST ESTEPHE,3RD,2003,CALON SEGUR  ,75cl,93,82,,,,,,,
ST ESTEPHE,3RD,2005,CALON SEGUR  ,75cl,93,85,,,,,,,
ST ESTEPHE,3RD,2009,CALON SEGUR  ,75cl,94+,78,,2013,MARQUIS  DE CALON SEGUR,75cl,15,,
ST ESTEPHE,4TH,1975,LAFON ROCHET,"1,5L",,110,Mag,,,,,,
ST ESTEPHE,4TH,1985,LAFON ROCHET,75cl,,65,,,,,,,
ST ESTEPHE,4TH,1995,LAFON ROCHET,75cl,89,52,,,,,,,
ST ESTEPHE,4TH,1996,LAFON ROCHET,75cl,90,52,,,,,,,
ST ESTEPHE,4TH,2005,LAFON ROCHET,75cl,91,45,,,,,,,
ST ESTEPHE,4TH,2006,LAFON ROCHET,75cl,88,31,,,,,,,
ST ESTEPHE,4TH,2008,LAFON ROCHET,75cl,88,27.5,,,,,,,
ST ESTEPHE,4TH,2009,LAFON ROCHET,75cl,90,35,,,,,,,
